#[[0,0,0],[0,0,0],[0,4,5]]
#[0,4,5]
[[1,2,3],[2,1,4],[3,4,1]]
#[[1,2,3],[2,1,4],[3,4,1],[5,6,7]]
[[1,2,0],[0,3,4],[0,0,5]]
[[1,0,0],[2,3,0],[0,4,5]]
#[[1,2,3],[4,5,6],[7,8,9]]
#[[1,4,7],[2,5,8],[3,6,9]]
#
#[[1,0,0],[0,1,0],[0,0,1]]
#[[0,1,2,3], [4,5,6,7], [8,9,10,11], [12,13,14,15]]
#[[1,0,2,0], [0,5,0,0], [0,9,10,0], [12,13,0,0]]
#[[1,0,2,0,1,0], [0,5,0,0,2,0], [0,9,6,0,10,0], [1,2,1,3,0,0], [0,0,0,0,0,0]]
#[[1,2]]
#[1]
#[[2]]
#3,2,4
#[[0,1],[2,3]]
#
#[[10,0,0,0,-2,0],[3,9,0,0,0,3],[0,7,8,7,0,0],[3,0,8,7,5,0],[0,8,0,9,9,13],[0,4,0,0,2,-1]]
#[[0,0,0,0],[5,8,0,0],[0,0,3,0],[0,6,0,0]]
#[[10,20,0,0,0,0],[0,30,0,40,0,0],[0,0,50,60,70,0],[0,0,0,0,0,80]]
#[[1,0,4,0.5],[2,-1,0,0],[0,0,3,2]]
#[[5,0,1],[8,1,1],[3,2,2],[6,1,3]]
