[[0, 1, 2], [0, 1, 2], [1.0, 1.0, 1.0]] 	===	 [[1.0, '_', '_'], ['_', 1.0, '_'], ['_', '_', 1.0]]
[[0, 3, 6], [0, 1, 2, 0, 1, 2, 0, 1, 2], [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]] 	===	 [[1.0, 2.0, 3.0], [4.0, 5.0, 6.0], [7.0, 8.0, 9.0]]
[[0, 3, 7, 11], [1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3], [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]] 	===	 [['_', 1.0, 2.0, 3.0], [4.0, 5.0, 6.0, 7.0], [8.0, 9.0, 10.0, 11.0], [12.0, 13.0, 14.0, 15.0]]
[[0, 2, 3, 5], [0, 2, 1, 1, 2, 0, 1], [1.0, 2.0, 5.0, 9.0, 10.0, 12.0, 13.0]] 	===	 [[1.0, '_', 2.0], ['_', 5.0, '_'], ['_', 9.0, 10.0], [12.0, 13.0, '_']]
[[0, 3, 5, 8], [0, 2, 4, 1, 4, 1, 2, 4, 0, 1, 2, 3], [1.0, 2.0, 1.0, 5.0, 2.0, 9.0, 6.0, 10.0, 1.0, 2.0, 1.0, 3.0]] 	===	 [[1.0, '_', 2.0, '_', 1.0], ['_', 5.0, '_', '_', 2.0], ['_', 9.0, 6.0, '_', 10.0], [1.0, 2.0, 1.0, 3.0, '_']]
[[0], [0, 1], [1.0, 2.0]] 	===	 [[1.0, 2.0]]
[[0], [0], [1.0]] 	===	 [[1.0]]
[[0], [0], [2.0]] 	===	 [[2.0]]
[[0], [0, 1, 2], [3.0, 2.0, 4.0]] 	===	 [[3.0, 2.0, 4.0]]
[[0, 1], [1, 0, 1], [1.0, 2.0, 3.0]] 	===	 [['_', 1.0], [2.0, 3.0]]
[[0, 1], [1, 0], [1.0, 2.0]] 	===	 [['_', 1.0], [2.0, '_']]
